Candidate,FolderName,Variant,SuccessRate,MeanDist_m,AvgTime_s,MaxPhysErr_m,AvgSteps
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-c,0.0,0.3316207826137543,0.04144255071878433,0.5470245480537415,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-c-dt0p25,0.0,0.768242359161377,0.17929823696613312,1.2245910167694092,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-c-dt0p5,0.0,0.6098263263702393,0.2774488031864166,1.079168438911438,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-c-dt2p0,0.0,0.7774499654769897,0.3918921649456024,1.5661823749542236,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-c-dt4p0,0.0,0.6786933541297913,0.08628532290458679,0.8055087327957153,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-r,0.0,0.2665348947048187,0.010779202915728092,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/dpcc-t,0.0,0.9381062388420105,0.010793782770633698,0.8126426935195923,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/gradient,0.0,0.2665348947048187,0.010785906575620174,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/model_free,0.0,0.2665348947048187,0.01080252043902874,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/post_processing,0.0,0.2665348947048187,0.010615984909236431,0.8673744201660156,300.0
E,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/diffuser,0.0,0.4750617444515228,0.1672920286655426,0.46194371581077576,300.0
E,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-r,0.0,0.34376096725463867,1.3494977951049805,0.6706497669219971,300.0
E,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/diffuser,0.0,0.4750617444515228,0.16791176795959473,0.46194371581077576,300.0
