Candidate,FolderName,scene,engine,K,seed,split,geo,variant,variant_base,tightened,variant_raw,rollout_idx,projection_cb_tripped,homotopy,homotopy_flown,n_success,success_relaxed,n_success_and_constraints,n_success_relaxed_and_constraints,collision_free_completed,phys_safe,goal_reached,goal_dist,n_violations,total_violations,n_steps,steps_to_goal,avg_time,avg_time_ms,fm_ms,proj_ms,total_ms_p95,over_budget_frac,track_err_mean,phys_contact_frac,phys_min_z,FullPath,backbone,budget_ms,constraint_collision_free,constraint_n_violations,constraint_total_violations,controller,diagnostics_found,fm_ms_p95,generation,geo_scene,goal_crossed_line,max_episode_length,mpc_batch,n_fm_steps,n_proj_steps,n_success_relaxed,over_budget_steps,phys_final_z,projection_backstop_hits,projection_cb_skipped_steps,projection_cb_trips,scene_json,success_relaxed_and_constraints,success_strict,success_strict_and_constraints,threshold
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,1,0.0,C,,0.0,,0.0,,,,,,0.0,0.0,243.0,,0.3482386115938425,348.2386115938425,85.58960816987748,262.64900342396504,659.9646007642149,1.0,0.7669819458776026,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,85.93484330922365,Gen11,dpcc-r,,,,243.0,,,243.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,2,0.0,R,,0.0,,0.0,,,,,,0.0,0.0,231.0,,0.5197935777825194,519.7935777825195,85.8861491471142,433.90742863540527,748.2029721140862,1.0,0.41035515963868474,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.29114367067814,Gen11,dpcc-r,,,,231.0,,,231.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,3,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,295.0,,0.15269417970488638,152.69417970488638,85.62443540510485,67.06974429978152,146.6539654880762,1.0,0.5383581604257444,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.01707238703966,Gen11,dpcc-r,,,,295.0,,,295.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,4,0.0,C,,0.0,,0.0,,,,,,0.0,0.0,259.0,,0.49211133488644504,492.11133488644504,85.69464270154943,406.4166921848956,889.8072296753525,1.0,0.2853298527150552,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.16977091878653,Gen11,dpcc-r,,,,259.0,,,259.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,5,0.0,R,,0.0,,0.0,,,,,,0.0,0.0,241.0,,0.6804716144591818,680.4716144591818,85.62865717282433,594.8429572863574,1166.9427957385778,1.0,1.1599586560837452,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.06350608170033,Gen11,dpcc-r,,,,241.0,,,241.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,6,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,293.0,,0.611292829514567,611.292829514567,85.62992452151133,525.6629049930556,932.5006652623408,1.0,0.814267079785025,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.04189269244671,Gen11,dpcc-r,,,,293.0,,,293.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,7,0.0,C,,0.0,,0.0,,,,,,0.0,0.0,249.0,,0.14605599863222804,146.05599863222804,85.76851058377319,60.28748804845485,147.1131905913353,1.0,0.5561339368967276,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.17960475385189,Gen11,dpcc-r,,,,249.0,,,249.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,8,0.0,R,,0.0,,0.0,,,,,,0.0,0.0,258.0,,0.16411741051187578,164.1174105118758,85.54796361212813,78.56944689974766,147.43649838492274,1.0,0.5884807417254301,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,85.9169957228005,Gen11,dpcc-r,,,,258.0,,,258.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,9,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,272.0,,0.5799950484925991,579.995048492599,85.6983375886236,494.29671090397545,1348.488050792366,1.0,0.2778581646509561,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.1378843896091,Gen11,dpcc-r,,,,272.0,,,272.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-t_anchorP,dpcc-t,dpcc-t,False,dpcc-t,0,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,254.0,,0.1460671225841355,146.06712258413552,86.11445658378244,59.95266600035307,147.9807499796152,1.0,0.28095323087688806,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.37620881199837,Gen11,dpcc-t,,,,254.0,,,254.0,,,,,corridor,,,,
