Candidate,FolderName,FullPath,seed,split,geo,geo_base,tightened,variant,metric,mean,std,min,max,n,mask,LatestSnapshot
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,context_init_xy_dist,0.44645914286375044,0.06240893131365128,0.3294336199760437,0.6067380905151367,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,context_target_angle_deg,-0.10211116522550583,50.350280212338774,-88.81660461425781,89.41377258300781,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,context_target_xy_x,0.49267314225435255,0.05966591603543977,0.40010973811149597,0.5921879410743713,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,context_target_xy_y,0.2693596601486206,0.041875530016227264,0.20338557660579681,0.34286341071128845,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,diagnostics_found,1.0,0.0,1.0,1.0,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,frozen,0.0,0.0,0.0,0.0,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,frozen_worst_overlap_m,,,,,0,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,mode_encoding,0.8953703703703704,0.30621739576302387,0.0,1.0,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,success_strict,0.0,0.0,0.0,0.0,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,total_violations,,,,,0,unfrozen,20260701_013505
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,n_success,0.0,0.0,0.0,0.0,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,n_success_and_constraints,,,,,0,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,mean_dist_per_rollout,0.4025549966039545,0.13084795886857323,0.09509832959405873,0.7111677295417209,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,n_steps,400.0,0.0,400.0,400.0,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,avg_time,,,,,0,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,avg_time_ms,,,,,0,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_box_angle_deg,-27.646303954062525,47.6455476464829,-88.14921569824219,87.04790496826172,462,all,20260620_170326
