Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
14,2,corridor|K20|Gen11,corridor,,20,0.0,20.0,8.571428571428573,9.89743318610787,8.571428571428573,,,,120.11129815138038,93.0987747457968,27.01252340558357,1.0,0.0,,,7.625456598894841,,1,,20260702_053207
15,28,s_curve|K20|Gen11,s_curve,,20,0.0,20.0,1.2,3.249615361854384,1.9230769230769231,8.823529411764707,0.0,9.411764705882353,296.10655857719524,85.71457469863368,210.39198387856152,1.0,0.0,12.710944117854803,586.0,67.57041733474435,,1,,20260709_101109
16,69,s_curve|mf|K2|bbunet|dp0.5,s_curve,mf,2,0.0,2.0,1.0,4.358898943540674,9.0,9.0,71.0,9.0,38.01792510173975,18.38090190955331,19.63702319218644,0.22500424545820397,0.0,3.7969480056963683,597.875,0.5627870719945058,FRONT,1,,20260827_015822
17,35,corridor|fm|K2,corridor,fm,2,1.0,3.3043478260869565,0.8695652173913043,2.817713347133853,30.0,34.347826086956516,0.8695652173913043,34.782608695652165,124.15932048719333,18.96359877286152,105.19572171433184,0.7456302151954326,0.0,8.154709209812278,267.76969954648524,44.66634521608585,,1,,20260819_182530
18,16,pillars|K20|Gen11,pillars,,20,0.0,20.0,0.0,0.0,0.0,22.307692307692307,0.0,31.538461538461544,1914.7127463519064,85.62699563686714,1829.085750715039,1.0,0.0,2.6044383868743988,,2.65765089628274,,1,,20260706_173205
19,17,pillars|K20|Gen11,pillars,,20,0.0,20.0,0.0,0.0,0.0,,,,111.8828810819845,87.77423047312938,24.10865060885512,1.0,0.0,,,1.7441494791051482,,1,,20260702_150659
20,18,pillars|K20|Gen11,pillars,,20,0.0,20.0,0.0,0.0,0.0,,,,108.99873955515139,85.20261858172839,23.79612097342302,1.0,0.0,,,1.1228303442314853,,1,,20260702_200754
21,19,pillars|K20|Gen11,pillars,,20,0.0,20.0,0.0,0.0,0.0,,,,743.0929166999528,86.88967369595107,656.2032430040018,1.0,0.0,,,1.919335726275277,,1,,20260704_205253
22,22,pillars|K20|Gen11,pillars,,20,0.0,20.0,0.0,0.0,2.1428571428571432,16.428571428571427,0.0,16.428571428571427,920.1685805312096,88.25036845771537,831.9182120734941,1.0,0.0,1.6567253875464902,430.4444444444445,1.7508573860420504,,1,,20260710_213343
23,24,s_curve|K20|Gen11,s_curve,,20,0.0,20.0,0.0,0.0,0.0,,,,108.31878400123212,85.84187736203695,22.476906639195157,1.0,0.0,,,39.25832672081436,,1,,
24,25,s_curve|K20|Gen11,s_curve,,20,0.0,20.0,0.0,0.0,0.0,,,,105.89798553745925,85.52751063908819,20.370474898371054,1.0,0.0,,,0.14486800863466023,,1,,
25,33,corridor|fm|K1,corridor,fm,1,1.0,1.9130434782608696,0.0,0.0,3.043478260869565,3.91304347826087,0.0,3.91304347826087,187.40568877927802,10.709763814246143,176.6959249650319,0.6210406243093762,0.0,14.986938250505899,270.6,65.98044891319775,,1,,20260819_144356
26,42,pillars|af|K1|bbsit,pillars,af,1,1.0,1.9493979036830476,0.0,0.0,11.76470588235294,51.17647058823529,0.0,51.17647058823529,53.153740732587245,6.712896631192091,46.44084410139516,0.14347763767036353,0.0,1.0372493732594936,509.86861111111114,0.45517727520658147,,1,,20260829_051944
27,43,pillars|af|K2|bbsit,pillars,af,2,1.0,4.016771773940576,0.0,0.0,5.294117647058823,44.11764705882353,0.0,44.11764705882353,56.249770270437665,12.542130124656788,43.707640145780886,0.5001869991980837,0.0,0.7898006483240723,513.2740079365079,0.44422343628090555,,1,,20260829_064323
28,44,pillars|af|K5|bbsit,pillars,af,5,0.0,12.710620616751996,0.0,0.0,1.1764705882352942,40.588235294117645,0.0,40.588235294117645,650.0270111860093,35.30064664731656,614.7263645386928,0.8701707181295231,0.0,1.0551698605355448,506.2416666666667,0.4758247945639431,,1,,20260829_081433
29,45,pillars|fm|K10,pillars,fm,10,0.0,14.545454545454545,0.0,0.0,0.0,10.144927536231883,0.0,10.144927536231883,2014.1340757008866,94.87822744824862,1919.2558482526379,1.0,0.08695652173913042,2.0346804893593533,496.8,4.2596382854541925,,1,,20260818_130346
30,46,pillars|fm|K1,pillars,fm,1,1.0,1.7356745221748004,0.0,0.0,0.0,35.294117647058826,0.0,35.294117647058826,143.536477293365,10.604398759267024,132.93207853409797,0.4283540545555762,0.0,2.288242537507496,,0.6754681384037717,,1,,20260827_172555
31,47,pillars|fm|K20,pillars,fm,20,0.0,20.0,0.0,0.0,5.0,5.0,0.0,5.0,5869.2089980913015,177.8645146734287,5691.344483417873,0.6810725552050474,0.375,1.9370147963463658,474.5555555555556,0.6290672679429642,,1,,20260827_234036
32,48,pillars|fm|K2,pillars,fm,2,1.0,3.2956831658992134,0.0,0.0,1.7647058823529416,45.294117647058826,0.0,45.88235294117647,132.33152203373672,19.34316119968186,112.98836083405487,0.6338652811282242,0.0,1.5944890835502739,509.0,0.5107235003729327,,1,,20260827_203140
33,49,pillars|fm|K5,pillars,fm,5,0.0,11.876140845253346,0.0,0.0,1.1764705882352942,34.117647058823536,0.0,34.117647058823536,666.4143004133934,50.93906833835095,615.4752320750425,0.840898125811839,0.0,1.3096372946089359,465.32638888888886,0.518710312753098,,1,,20260827_234031
34,50,pillars|mf|K10|bbunet|dp0.5,pillars,mf,10,0.0,16.52173913043478,0.0,0.0,2.8985507246376807,14.492753623188406,0.0,17.391304347826086,779.2309170553883,100.91338523694027,678.3175318184483,1.0,0.0,51.71017493490478,487.8333333333333,73.42425301320822,,1,,20260816_205837
35,51,pillars|mf|K1|bbunet|dp0.5,pillars,mf,1,1.0,1.9504998850084643,0.0,0.0,9.411764705882353,42.94117647058823,0.0,43.529411764705884,66.82435643286914,9.907876199444733,56.916480233424394,0.30362063108377546,0.0,1.393724175435264,486.64146825396824,0.48193905289525296,,1,,20260828_134908
36,54,pillars|mf|K2|bbunet|dp0.5,pillars,mf,2,1.0,3.9002240292230814,0.0,0.0,18.23529411764706,41.76470588235294,0.0,41.76470588235294,70.52709395534035,18.76905906668756,51.75803488865278,0.6402139794942722,0.0,1.3729861259973357,475.21979166666665,0.4849368711138073,,1,,20260828_152951
37,57,pillars|mf|K5|bbunet|dp0.5,pillars,mf,5,0.0,12.38117016176713,0.0,0.0,20.0,37.64705882352941,1.1764705882352942,38.23529411764706,636.3304446908527,53.46858082016632,582.8618638706864,0.7327426238634255,0.0,2.057194012481309,451.5499084249084,1.3937973059654272,,1,,20260828_171343
38,60,s_curve|diffusion|K20,s_curve,diffusion,20,0.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,1645.9295221774141,166.6770731817309,1479.2524489956827,0.49332285938727405,0.0,2.932459315071038,,0.7963614049891521,,1,,20260826_093227
39,61,s_curve|fm|K10,s_curve,fm,10,0.0,10.0,0.0,0.0,1.0,3.0000000000000004,4.0,8.0,509.021476716887,95.11741074400085,413.9040659728862,0.3720091848450057,0.0,4.07929997267514,620.5,0.5595766502168152,,1,,20260826_194532
40,62,s_curve|fm|K1,s_curve,fm,1,0.0,1.0,0.0,0.0,8.0,19.0,0.0,19.0,48.9473337500711,11.203870162087055,37.74346358798404,0.11097471578579085,0.0,3.425578800451229,696.5833333333334,0.5093986651252216,,1,,20260826_144000
41,63,s_curve|fm|K20,s_curve,fm,20,0.0,20.0,0.0,0.0,4.0,5.0,15.0,5.0,1286.0546683195696,170.85647837738682,1115.198189942183,0.3272789896670494,0.0,4.299329561765271,607.5,0.7320593181289531,,1,,20260825_203152
42,64,s_curve|fm|K2,s_curve,fm,2,0.0,2.0,0.0,0.0,1.0,12.000000000000002,1.0,20.0,58.76032485421676,20.97939644569998,37.78092840851677,0.3669230769230769,0.0,3.436934516561157,680.0,0.5519531195429818,,1,,20260826_152812
43,65,s_curve|fm|K5,s_curve,fm,5,0.0,5.0,0.0,0.0,0.0,0.0,2.0,10.0,297.9104924027631,51.08880173940105,246.82169066336215,0.37559127439724455,0.0,4.095306509884057,,0.5730528229357577,,1,,20260826_162435
44,66,s_curve|mf|K10|bbunet|dp0.5,s_curve,mf,10,0.0,14.545454545454545,0.0,0.0,2.6086956521739135,3.4782608695652173,62.60869565217391,3.4782608695652173,1485.455358066989,97.96596208267052,1387.4893959843184,0.33010124204154057,0.0,4.65005386512702,613.75,24.09417313868764,,1,,20260827_061938
45,67,s_curve|mf|K1|bbunet|dp0.5,s_curve,mf,1,0.0,1.0,0.0,0.0,11.000000000000002,11.000000000000002,61.999999999999986,11.000000000000002,31.350146783648263,9.581950164076828,21.768196619571434,0.05103882080960972,0.0,3.7706132494760114,597.4375,0.6389346570802598,FRONT,1,,20260827_013305
46,68,s_curve|mf|K20|bbunet|dp0.5,s_curve,mf,20,0.0,20.0,0.0,0.0,2.0,2.0,82.0,2.0,2008.6135950462449,200.6737771132851,1807.9398179329596,0.2458323765786453,0.0,4.509100236624593,618.5,0.9077756394927198,,1,,20260825_215437
47,70,s_curve|mf|K5|bbunet|dp0.5,s_curve,mf,5,0.0,5.0,0.0,0.0,2.0,2.0,69.0,2.0,443.01672041181257,44.52363192579149,398.4930884860211,0.2577726750861079,0.0,4.48369504642832,619.0,0.6174628080389823,,1,,20260827_022656
48,71,s_curve|diffusion|K20,s_curve,diffusion,20,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.4702960175073,176.4041204835441,3201.0661755339634,0.5946900114810563,0.0,2.456725486944677,,0.7424682483645788,,1,,20260828_234046
