Candidate,FolderName,scene,engine,K,seed,split,geo,variant,variant_base,tightened,variant_raw,rollout_idx,projection_cb_tripped,homotopy,homotopy_flown,n_success,success_relaxed,n_success_and_constraints,n_success_relaxed_and_constraints,collision_free_completed,phys_safe,goal_reached,goal_dist,n_violations,total_violations,n_steps,steps_to_goal,avg_time,avg_time_ms,fm_ms,proj_ms,total_ms_p95,over_budget_frac,track_err_mean,phys_contact_frac,phys_min_z,FullPath,backbone,budget_ms,constraint_collision_free,constraint_n_violations,constraint_total_violations,controller,diagnostics_found,divergence_aborted,divergence_step,fm_ms_p95,generation,geo_scene,goal_crossed_line,max_episode_length,mpc_batch,n_fm_steps,n_proj_steps,n_success_relaxed,over_budget_steps,phys_final_z,projection_backstop_hits,projection_cb_skipped_steps,projection_cb_trips,scene_json,success_relaxed_and_constraints,success_strict,success_strict_and_constraints,threshold
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,8,0.0,R,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3178288488538716,223.0,82.85842125636569,396.0,,0.08593819536870778,85.93819536870778,85.93819536870778,0.0,86.44504379481077,1.0,51.49176743451286,0.3838383838383838,0.23743128333343302,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,223.0,82.85842125636569,pid_stopgo,1.0,,,86.44504379481077,Gen15,corridor,0.0,396.0,4,396.0,396.0,,396.0,0.2651885948321265,0.0,0.0,0.0,corridor,0.0,0.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,9,0.0,L,L,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5973780614434708,131.0,12.945260141491897,396.0,,0.0856644109013782,85.6644109013782,85.6644109013782,0.0,85.93639172613621,1.0,0.38626365223645337,0.0,0.48348567943741116,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,131.0,12.945260141491897,pid_stopgo,1.0,,,85.93639172613621,Gen15,corridor,1.0,396.0,4,396.0,396.0,,396.0,0.5427848362315576,0.0,0.0,0.0,corridor,0.0,0.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,0,0.0,L,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28973733373720684,0.0,0.0,270.0,270.0,0.2474192110752618,247.41921107526179,85.21877917012682,162.20043190513496,315.44454637914896,1.0,0.5085139091062515,0.0,1.0807210988885172,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.60549318790436,Gen15,corridor,1.0,396.0,4,270.0,270.0,,270.0,1.106847853172293,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,1,0.0,C,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29224589605566503,0.0,0.0,271.0,271.0,0.23290231208079856,232.90231208079857,85.00089448948847,147.90141759131006,285.26371251791716,1.0,0.5086663479739408,0.0,1.0713670451248392,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.28134040534496,Gen15,corridor,1.0,396.0,4,271.0,271.0,,271.0,1.101553760227686,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,2,0.0,R,R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2837068340248448,0.0,0.0,268.0,268.0,0.24508920086742336,245.08920086742336,85.02841826333706,160.0607826040863,315.38704168051476,1.0,0.5153293293575877,0.0,1.0832985212242219,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.45822286978364,Gen15,corridor,1.0,396.0,4,268.0,268.0,,268.0,1.1125104981584826,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,3,0.0,L,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29458696942643664,0.0,0.0,269.0,269.0,0.24771540978279477,247.71540978279478,85.1122756734435,162.60313410935126,321.62828482687473,1.0,0.511949059339811,0.0,1.0822170656768106,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.53373962640762,Gen15,corridor,1.0,396.0,4,269.0,269.0,,269.0,1.0937230481169187,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,4,0.0,C,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29661507425611594,0.0,0.0,271.0,271.0,0.23558467058842913,235.58467058842913,84.94375727905778,150.64091330937134,284.3662602826953,1.0,0.5115020948932869,0.0,1.0739055596209492,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.21230332553387,Gen15,corridor,1.0,396.0,4,271.0,271.0,,271.0,1.111116019035984,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,5,0.0,R,R,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2922896160825639,0.0,0.0,275.0,275.0,0.2420796913044019,242.0796913044019,84.98661627823657,157.09307502616537,296.5955076739192,1.0,0.5028217878002824,0.0,0.9845617099753877,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.30549723654985,Gen15,corridor,1.0,396.0,4,275.0,275.0,,275.0,1.1141910348024797,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,6,0.0,L,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2920783715150724,0.0,0.0,272.0,272.0,0.24173660207923284,241.73660207923282,84.91092247833662,156.8256796008962,308.50486941635603,1.0,0.5125110007423711,0.0,0.9559183722883895,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.2007950656116,Gen15,corridor,1.0,396.0,4,272.0,272.0,,272.0,1.116679356769798,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,dpcc-c,dpcc-c,False,dpcc-c,7,0.0,C,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29073145331875505,0.0,0.0,267.0,267.0,0.23537317103242383,235.37317103242384,85.1168954040339,150.25627562838994,289.9085517972708,1.0,0.517148232720296,0.0,1.078660289535622,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.41361037641764,Gen15,corridor,1.0,396.0,4,267.0,267.0,,267.0,1.1145484609648455,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
