Candidate,Display,Eval_Tag,scene,engine,engine_label,K,mpc_batch,controller,threshold,run_tag,backbone,data_proportion,alpha_init,alpha_end,train_K,horizon,diffusion_cls,model_name,generation,Seeds,N_Seeds,Missing_Seeds,CB_Sentinels,Latest_Snapshot,Snapshot_By_Seed,Full_Path
35,corridor|af|K1|bbsit,Eaf_K1_mpc4_pid_stopgo_T0.5,corridor,af,alpha-Flow (Gen3v7),1.0,4.0,pid_stopgo,0.5,,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260823_133049,6:20260823_133049,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5
36,corridor|af|K2|bbsit,Eaf_K2_mpc4_pid_stopgo_T0.5,corridor,af,alpha-Flow (Gen3v7),2.0,4.0,pid_stopgo,0.5,,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260823_165703,6:20260823_165703,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5
37,corridor|af|K5|bbsit,Eaf_K5_mpc4_pid_stopgo_T0.5,corridor,af,alpha-Flow (Gen3v7),5.0,4.0,pid_stopgo,0.5,,sit,,1,0,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit,Gen15,6,1,,0,20260823_185936,6:20260823_185936,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K5_mpc4_pid_stopgo_T0.5
38,corridor|diffusion|K20|@u17cv2,Ediffusion_K20_mpc4_pid_stopgo_T0.5_u17cv2,corridor,diffusion,DDPM / DPCC baseline (GaussianDiffusion),20.0,4.0,pid_stopgo,0.5,u17cv2,,,,,20,8,,H8_Dmodels.ddpm_diffusion.GaussianDiffusion_9D_K20,Gen15,6,1,,0,20260913_211122,6:20260913_211122,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_diffusion/H8_Dmodels.ddpm_diffusion.GaussianDiffusion_9D_K20/Ediffusion_K20_mpc4_pid_stopgo_T0.5_u17cv2
39,corridor|fm|K10,Efm_K10_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),10.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_212538,6:20260819_212538,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5
40,corridor|fm|K1,Efm_K1_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),1.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_144356,6:20260819_144356,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5
41,corridor|fm|K1|@u17cv2,Efm_K1_mpc4_pid_stopgo_T0.5_u17cv2,corridor,fm,Flow Matching (Gen11 FMv3ODE),1.0,4.0,pid_stopgo,0.5,u17cv2,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260913_170328,6:20260913_170328,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5_u17cv2
42,corridor|fm|K20,Efm_K20_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_232044,6:20260819_232044,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5
43,corridor|fm|K2,Efm_K2_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),2.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_182530,6:20260819_182530,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5
44,corridor|fm|K2|@u7hg,Efm_K2_mpc4_pid_stopgo_T0.5_u7hg,corridor,fm,Flow Matching (Gen11 FMv3ODE),2.0,4.0,pid_stopgo,0.5,u7hg,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260912_042149,6:20260912_042149,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5_u7hg
