Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
31,54,corridor|mf|K2|bbunet|dp0.5,corridor,mf,2.0,1.0,3.3043478260869565,13.043478260869568,20.309514285437675,17.82608695652174,18.26086956521739,13.043478260869568,18.26086956521739,251.62635594410932,19.849426744182434,231.776929199927,0.7792808182485775,0.0,17.226868661274242,273.14375,59.4346227707416,,1,,20260820_104904
32,32,corridor|af|K3|bbunet|@EPlatest_u17cv2,corridor,af,3.0,0.0,7.444444444444445,12.962962962962962,14.756830972693727,40.74074074074074,100.0,50.92592592592592,100.0,76.56456597596217,32.08849644526659,44.47606953069557,0.8902023679721746,0.0,0.3600010146509898,296.77777777777777,0.4139438650327034,,1,,20260918_131612
33,52,corridor|mf|K1|bbunet|dp0.5|@u17cv2,corridor,mf,1.0,0.0,1.0,12.499999999999998,12.499999999999998,75.0,100.0,20.833333333333332,100.0,24.226263382060278,9.630838734137825,14.595424647922453,0.11979808388373389,0.0,0.3048440261129295,298.4107142857143,0.45429747808835863,,1,,20260913_165535
34,56,corridor|mf|K3|bbunet|dp0.5|@u17cv2,corridor,mf,3.0,0.0,7.444444444444445,12.037037037037036,8.881169487616148,37.03703703703704,100.0,54.629629629629626,100.0,76.9197717491401,32.378268943552904,44.54150280558721,0.8900923343603478,0.0,0.3894737920739716,302.0,0.4067635765758158,,1,,20260918_162447
35,94,pillars|mf|K1|bbunet|dp0.5|@u7hg,pillars,mf,1.0,0.0,1.0,12.0,13.2664991614216,12.0,100.0,19.0,100.0,63.35175094175327,9.339832631689195,54.011918310064075,0.24451754214384974,0.0,0.5224543148673633,440.125,0.3375508393185889,,1,,20260919_083936
36,51,corridor|mf|K1|bbunet|dp0.5,corridor,mf,1.0,1.0,1.9130434782608696,10.434782608695654,20.103700907298936,17.391304347826082,17.82608695652174,10.434782608695654,18.260869565217387,233.59245633386487,11.04276505101644,222.54969128284839,0.7117509507407758,0.0,17.516003919093087,269.8429487179487,61.26803697669607,,1,,20260820_104902
37,7,corridor|K20|Gen11,corridor,,20.0,0.0,20.0,9.411764705882353,12.588785034725113,17.647058823529413,19.41176470588235,50.0,65.88235294117646,200.1754710479318,90.8054872905254,109.36998375740642,1.0,0.0,2.0140039232170084,283.26666666666665,12.208783480788059,,1,,20260708_161114
38,123,s_curve|af|K5|bbunet|@EPlatest_u7hg,s_curve,af,5.0,0.0,11.433821781263264,8.888888888888888,10.999438818457406,24.444444444444446,24.444444444444446,10.0,24.444444444444446,756.5094900111784,54.43271577569898,702.0767742354794,0.731572904707233,0.0,1.5377620437806747,617.9395061728395,0.45608793245183343,,1,,20260911_105136
39,2,corridor|K20|Gen11,corridor,,20.0,0.0,20.0,8.571428571428573,9.89743318610787,8.571428571428573,,,,120.11129815138038,93.0987747457968,27.01252340558357,1.0,0.0,,,7.625456598894841,,1,,20260702_053207
40,63,pillars|af|K1|bbunet|@EPlatest_u7hg,pillars,af,1.0,0.0,1.0,6.0,8.0,6.0,100.0,14.000000000000002,100.0,67.8810495394376,9.451369556244567,58.429679983193026,0.25952062456537844,0.0,0.6017964688916411,437.375,0.332280221576431,,1,,20260907_075325
41,33,corridor|af|K5|bbunet|@EPlatest_u17cv2,corridor,af,5.0,0.0,12.88888888888889,5.555555555555555,7.856742013183861,35.18518518518518,100.0,36.11111111111111,100.0,115.79586428322867,54.56795405724438,61.22791022598429,1.0,0.0,0.40202885770129704,297.26851851851853,0.4064139092800876,,1,,20260918_155501
42,57,corridor|mf|K3|bbunet|dp0.5|@u7hg,corridor,mf,3.0,0.0,3.4,5.0,15.000000000000002,45.0,90.0,10.0,90.0,102.92651717530683,31.580001865024617,71.3465153102822,0.8031511399048712,0.0,0.5206385611661141,290.0,0.4510805494447336,,1,,20260913_154814
43,122,s_curve|af|K5|bbunet|@EPlatest_u6unet_ae02,s_curve,af,5.0,0.0,10.313209237417189,3.529411764705883,6.809315825170721,17.647058823529417,17.647058823529417,3.529411764705883,17.647058823529417,747.1683999115602,53.26550270822986,693.9028972033302,0.6605186736003241,0.0,1.8258574245451458,617.9515873015873,0.43701400944148894,,1,,20260906_115232
44,133,s_curve|mf|K10|bbunet|dp0.5|@u7hg,s_curve,mf,10.0,0.0,25.20049041738994,2.5,4.330127018922194,5.0,5.0,2.5,5.0,1500.6685741243862,109.83587087187875,1390.8327032525071,0.6910304247990815,0.0,1.7289819587793076,626.0873015873017,0.513264014373879,,1,,20260908_103035
45,130,s_curve|fm|K2|@u7hg,s_curve,fm,2.0,0.0,2.0,2.0,4.0,61.999999999999986,61.999999999999986,2.0,61.999999999999986,89.9851660674581,17.452009499488764,72.53315656796934,0.5019548465950961,0.0,1.0447066262396905,623.0330952380953,0.3777299076620063,,1,,20260906_063033
46,28,s_curve|K20|Gen11,s_curve,,20.0,0.0,20.0,1.2,3.249615361854384,1.9230769230769231,8.823529411764707,0.0,9.411764705882353,296.10655857719524,85.71457469863368,210.39198387856152,1.0,0.0,12.710944117854803,586.0,67.57041733474435,,1,,20260709_101109
47,117,s_curve|mf|K2|bbunet|dp0.5,s_curve,mf,2.0,0.0,2.0,1.0,4.358898943540674,9.0,9.0,71.0,9.0,38.01792510173975,18.38090190955331,19.63702319218644,0.22500424545820397,0.0,3.7969480056963683,597.875,0.5627870719945058,,1,,20260827_015822
48,43,corridor|fm|K2,corridor,fm,2.0,1.0,3.3043478260869565,0.8695652173913043,2.817713347133853,30.0,34.347826086956516,0.8695652173913043,34.782608695652165,124.15932048719333,18.96359877286152,105.19572171433184,0.7456302151954326,0.0,8.154709209812278,267.76969954648524,44.66634521608585,,1,,20260819_182530
49,1,corridor|Gen11,corridor,,,0.0,,0.0,0.0,0.0,,,,253.35142393690043,86.04628934033728,167.3051345965632,1.0,0.0,,,0.764155299691847,,1,,20260628_142052
