Candidate,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Major_Accuracy,Time_ms,Gen_ms,Proj_ms,NFE_effective,CollisionFree,PhysSafe,GoalDist_m,N_Variants,N_Geos,N_Seeds,Missing_Seeds,scene,engine,K,mpc_batch,controller,threshold,run_tag,backbone,generation
28,s_curve|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260709_101109,20260705_171230,2,6:20260709_101109,0.012,0.03249615361854384,0.02619047619047619,296.10655857719524,85.71457469863368,210.39198387856152,20.0,0.0,0.09411764705882353,12.710944117854803,17,6,1,,s_curve,,20.0,4.0,pid_stopgo,0.5,,,Gen11
29,corridor|af|K1|bbunet|@EPlatest_u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,20260907_071511,20260907_071511,1,6:20260907_071511,1.0,0.0,1.0,76.71235802895073,9.492127225505998,67.22023080344472,1.0,1.0,1.0,0.29040806833492316,10,1,1,,corridor,af,1.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,Gen15
30,corridor|af|K2|bbunet|@EPlatest_u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K2_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,20260907_091037,20260907_091037,1,6:20260907_091037,1.0,0.0,1.0,81.72580128060017,18.235581850174892,63.490219430425256,2.0,1.0,1.0,0.29125355949588805,10,1,1,,corridor,af,2.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,Gen15
31,corridor|af|K1|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5,20260823_133049,20260823_133049,1,6:20260823_133049,0.14782608695652175,0.1528556159238865,0.23333333333333334,135.36654555245713,7.6485629696403405,127.71798258281682,1.9130434782608696,0.14782608695652175,0.27826086956521734,4.252324087744643,23,1,1,,corridor,af,1.0,4.0,pid_stopgo,0.5,,sit,Gen15
32,corridor|af|K2|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5,20260823_165703,20260823_165703,1,6:20260823_165703,0.26956521739130435,0.2910771339707139,0.4555555555555556,92.63405083333953,13.235698082626937,79.39835275071259,3.3043478260869565,0.26956521739130435,0.5130434782608696,1.9593503980777252,23,1,1,,corridor,af,2.0,4.0,pid_stopgo,0.5,,sit,Gen15
33,corridor|af|K5|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K5_mpc4_pid_stopgo_T0.5,20260823_185936,20260823_185936,1,6:20260823_185936,0.5173913043478261,0.41352374824085764,0.6888888888888889,166.20719554415984,33.04215434045806,133.16504120370183,8.521739130434783,0.5173913043478261,0.717391304347826,1.2539694249225553,23,1,1,,corridor,af,5.0,4.0,pid_stopgo,0.5,,sit,Gen15
34,corridor|fm|K10,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,20260819_212538,20260817_234351,2,6:20260819_212538,0.5173913043478261,0.424931886012891,0.8,259.70138257727103,92.56133525361787,167.14004732365314,16.52173913043478,0.5173913043478261,0.6304347826086957,2.510865826316466,23,1,1,,corridor,fm,10.0,4.0,pid_stopgo,0.5,,,Gen15
35,corridor|fm|K1,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5,20260819_144356,20260819_144356,1,6:20260819_144356,0.0,0.0,0.0,187.40568877927802,10.709763814246143,176.6959249650319,1.9130434782608696,0.0,0.0391304347826087,14.986938250505899,23,1,1,,corridor,fm,1.0,4.0,pid_stopgo,0.5,,,Gen15
36,corridor|fm|K20,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5,20260819_232044,20260819_232044,1,6:20260819_232044,0.6391304347826087,0.4594317193293232,0.9400000000000001,459.98076368308324,185.6915345125434,274.28922917054,29.09090909090909,0.6391304347826087,0.6521739130434783,4.088771173585625,23,1,1,,corridor,fm,20.0,4.0,pid_stopgo,0.5,,,Gen15
37,corridor|fm|K2,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5,20260819_182530,20260819_182530,1,6:20260819_182530,0.008695652173913044,0.02817713347133853,0.01,124.15932048719333,18.96359877286152,105.19572171433184,3.3043478260869565,0.008695652173913044,0.3478260869565217,8.154709209812278,23,1,1,,corridor,fm,2.0,4.0,pid_stopgo,0.5,,,Gen15
