[2026-04-23T13:40:12.204141] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:12.337940] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:12.409630] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:12.484153] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:12.569440] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:12.642779] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:13.120673] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:13.750198] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:13.836804] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:13.907009] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.074578] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.145151] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.209941] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.265111] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.321763] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.373917] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.476827] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.572008] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.658059] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.733662] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.893867] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:14.972965] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.040312] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.095000] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.153805] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.209113] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.341506] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.421779] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.485849] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.554130] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.738510] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.809879] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.874506] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.932361] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:15.986943] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.041589] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.153315] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.288086] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.358402] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.421108] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.574899] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.644257] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.733555] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.788593] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.845443] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.901304] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:16.995852] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.062593] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.129456] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.193357] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.354377] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.422784] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.490014] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.551666] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.611326] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:17.670733] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:20.645971] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:20.726154] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:20.792024] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:20.885436] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.045923] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.112937] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.179433] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.234087] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.288136] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.344324] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.443735] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.511169] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.576655] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.640041] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.808256] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.879662] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:21.968302] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.025683] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.081543] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.138380] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.221797] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.299117] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.366872] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.433229] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.590033] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.657383] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.725560] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.779720] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.835918] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:22.893995] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.051880] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.119211] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.186702] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.250743] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.409825] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.479270] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.545676] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.608850] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.710622] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.794162] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:23.909160] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.007285] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.116088] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.203227] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.449491] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.583639] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.649578] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.721028] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.790247] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.857549] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:24.957137] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.037563] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.122391] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.214327] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.475276] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.623251] loop_idx=1, backend=torchdiffeq, method=rk4
