seed,variant,constraint_type,halfspace_variant,metric,value,Candidate,Folder_Name
6,dpcc-c,halfspace,top-left-hard,total_violations,0.2201490836888551,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,total_violations_std,0.18656997274607415,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,avg_time,0.27084836232333553,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,avg_time_std,0.009966918295786192,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,collision_free_completed,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_success_and_constraints,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_steps,96.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_steps_std,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_violations,43.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,n_violations_std,9.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,total_violations,0.8852513349167959,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,total_violations_std,0.17977933361174253,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,avg_time,0.2528792582836348,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,avg_time_std,0.002957221159000989,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,collision_free_completed,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,both-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_steps,60.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_steps_std,5.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,total_violations,0.0002500391900539297,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,total_violations_std,0.00024999973177909814,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,avg_time,0.3296703618723196,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,avg_time_std,0.01807956928973431,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
