Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness,Latest_Snapshot
47,19,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,75.0,,0.5201762223903509,,1.9920117916359223,20260509_153238
48,55,H8_K1_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgac05_latest,75.0,,0.017723955635276196,,0.5853612300237432,20260901_023329
49,58,H8_K2_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgac05_latest,75.0,,0.02713357447515152,,0.6808089011718775,20260901_023733
50,74,K5_thres0_mpc1_n2,75.0,,0.14944996664298377,,10.004410522296086,
51,123,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,75.0,,0.037101893198280084,,0.7652321781791803,20260714_225255
52,52,H8_K2_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon005_s6,74.44444444444444,,0.026816998104301288,,0.38972930732571714,20260902_070632
53,1,H8_K2_Meuler_T0.5_A0.5_Dmix_visual_avoiding.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,73.88888888888889,,0.05973089677538521,,80.1224584127865,20260822_204705
54,167,H8_K20_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,73.66071428571429,,0.793248005638002,,65.32323219748803,20260815_122056
55,163,H8_K10_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,73.19345238095238,,0.3347415610534425,,31.458635519096177,20260814_204932
56,135,H8_K10_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.3814818669001116,,12.895373285823645,20260730_164148
57,148,H16_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.07581172407264339,,1.4036967433728413,20260817_053516
58,150,H16_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.08858814758687365,,1.4788575554716918,20260817_054642
59,168,"H8_K2_Meuler_T0,5_Dflow_matcher_v3_meanflow.models.MeanFlowODE",72.91666666666666,,0.04474802484667314,,3.4529216656971946,20260806_211022
60,170,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,72.79166666666667,,0.03289031774493869,,9.983342236894476,20260813_212322
61,65,H8_K2_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon02_s6,72.5,,0.026942796159819093,,0.3258732943216276,20260902_010244
62,166,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,72.375,,0.02394546346851439,,10.03914319636815,20260813_202147
63,61,H8_K10_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon02_s6,72.29166666666667,,0.3073470801155893,,53.53727488461767,20260902_071213
64,104,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,72.22222222222223,,0.4268377768013521,,0.8536290085689694,20260713_145743
65,140,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.22222222222221,,0.03789926976822409,,0.739261300204609,20260724_014600
